paper_id,scope,intersection_directness,contribution_type,pipeline_position,provisional_snn_role,task_application,cross_cutting_topics,emergent_code,taxonomy_use,abstract_basis,pdf_trigger_question,confidence,annotator,review_status,review_note
"ICLR2025-2158","core_intersection","benchmark_only","training_or_conversion;hardware_or_deployment","neuromorphic or static inputs → mixed-time-step-trained staged SNN → predictions on stepped or event-driven hardware","not_applicable","visual classification","training;efficiency;hardware_or_deployment;generalization","temporal_flexibility;mixed_timestep_training","boundary_case;cross_cutting_evidence","Mixed Time-step Training randomizes time steps across SNN stages and is evaluated on N-MNIST and CIFAR10-DVS as well as time-stepped and fully event-driven platforms.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High: both SNN and neuromorphic/DVS benchmarks are present, so scope remains core; the contribution is training/deployment rather than an inference-role algorithmic engine."
"NeurIPS2024-0322","core_intersection","benchmark_only","inference_method","input spikes → spiking experts and spike router → Spiking Transformer prediction","task_network","classification on neuromorphic and static datasets","efficiency","spike_conditional_mixture_of_experts","representative_method;boundary_case","SEMM makes both experts and router emit spike sequences and adds expert-mixture attention and perceptron blocks to a Spiking Transformer. The abstract names only generic neuromorphic and static datasets.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High PDF check: the paper evaluates its genuine Spiking Transformer/MoE on CIFAR10-DVS (official paper, experimental setup), so it is benchmark-only intersection."
"ICML2024-1013","out_of_scope","neither_axis","inference_method","biological neural recordings → optimized spatiotemporal filters → recurring spike-sequence patterns","not_applicable","neural activity pattern detection","efficiency;temporal_modeling","none","exclude_candidate","convSeq detects recurring patterns in recorded biological neural spike data. It neither uses an event camera nor claims spiking-neuron computation.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
"ICML2024-1168","snn_only","single_axis","training_or_conversion","task data → activity-guided prune-and-regenerate training → compact deep SNN → predictions","not_applicable","general SNN inference","training;efficiency;hardware_or_deployment","activity_based_structured_pruning","cross_cutting_evidence","The proposed SCA framework prunes and regenerates convolutional kernels according to spiking activity during training to reduce inference cost. No event-camera input is stated.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: SNN-only paper; intersection role is not applicable. Scope was not otherwise changed."
"ICLR2025-0595","event_camera_only","single_axis","inference_method;dataset_or_benchmark","paired event and RAW measurements → event-guided ISP → RGB image","not_applicable","image signal processing","dataset_or_evaluation","event_guided_isp","boundary_case;dataset_or_evaluation","The work supplies a pixel-aligned event-RAW dataset and a simple event-guided ISP benchmark method. No SNN or spiking-neuron computation is described.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_reviewed",""
"NeurIPS2025-4086","event_camera_only","single_axis","event_representation;training_or_conversion;dataset_or_benchmark","conventional video → on-the-fly event voxel simulation → nonspiking reconstruction or optical-flow model","not_applicable","video reconstruction and optical flow","conversion;augmentation;efficiency;dataset_or_evaluation;generalization","video_to_voxel_simulation","cross_cutting_evidence;dataset_or_evaluation","V2V converts video directly to event-based voxel grids and scales training data without storing event streams. The evaluated architectures are not identified as SNNs.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_reviewed",""
"CVPR2025-2181","event_camera_only","single_axis","inference_method","event-camera measurements under varying light → photometric reconstruction → surface normals and reflectance","not_applicable","photometric stereo","efficiency","event_photometric_stereo","representative_method;boundary_case","EventPSR uses an event camera to recover surface normal and material reflectance with a geometric imaging approach. The abstract does not describe an SNN.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ECCV2024-0947","event_camera_only","single_axis","inference_method","event-camera normal flow → coarse linear fit → nonlinear spatiotemporal registration → time to collision","not_applicable","time-to-collision estimation","efficiency;temporal_modeling","geometric_event_ttc","representative_method","The method performs coarse-to-fine geometric model fitting directly on event-camera data for time-to-collision estimation. Its solvers are not SNNs.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICLR2026-4671","event_camera_only","single_axis","inference_method;dataset_or_benchmark","event stream plus visual prompt → SEAL segmentation and open-vocabulary classification → masks","not_applicable","open-vocabulary event instance segmentation","efficiency;dataset_or_evaluation;representation_learning","open_vocabulary_event_segmentation","representative_method;dataset_or_evaluation","SEAL performs prompted and generic open-vocabulary segmentation on event-sensor data and curates four benchmarks. No SNN is claimed.","none","high","GPT-5.6 Sol Medium / 2026-09-10","mid_complete",""
"ICLR2026-1775","out_of_scope","neither_axis","survey_or_theory","spiked-covariance samples → minimum-norm regression analysis → generalization-risk regimes","not_applicable","linear regression generalization analysis","generalization","none","exclude_candidate","Here spiked refers to a covariance data model used to analyze overfitting phase transitions. It is unrelated to event cameras or spiking neural networks.","none","high","GPT-5.6 Sol Medium / 2026-09-10","high_corrected","Sol High rule-level correction: out-of-scope false-positive mechanism is excluded from taxonomy open coding."
